Time,Pirm? konfigur?cija ,HerbPopulation,CarnPopulation,OmniPopulation,FPS
262,751,751,0,0,3
263,755,755,0,0,2
264,760,760,0,0,3
265,764,764,0,0,3
266,770,770,0,0,2
267,773,773,0,0,2
268,777,777,0,0,2
269,784,784,0,0,2
270,791,791,0,0,2
271,799,799,0,0,2
272,800,800,0,0,2
273,805,805,0,0,3
274,809,809,0,0,2
275,812,812,0,0,2
276,818,818,0,0,2
277,822,822,0,0,2
278,829,829,0,0,2
279,832,832,0,0,2
280,833,833,0,0,2
281,842,842,0,0,2
282,845,845,0,0,2
283,848,848,0,0,2
284,853,853,0,0,2
285,857,857,0,0,2
286,860,860,0,0,1
287,870,870,0,0,2
288,878,878,0,0,2
289,880,880,0,0,2
290,881,881,0,0,2
291,887,887,0,0,2
292,891,891,0,0,2
293,895,895,0,0,2
294,897,897,0,0,2
295,897,897,0,0,2
296,899,899,0,0,2
297,901,901,0,0,2
298,908,908,0,0,2
299,914,914,0,0,2
