Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
b2,Herbivore,Female,0.2,70.03,17.28,1.66,1.75,0.95,0.12,0.6,0.96,0.01
b1,Herbivore,Female,0.04,92.77,34.32,1.27,1.29,1.88,0.37,0.12,1.18,0.13
b3,Herbivore,Female,0.05,13.25,25.83,1.85,2.35,1.09,0.29,0.69,1.02,0.09
b8,Herbivore,Male,0.62,91.13,29.23,2.97,1.84,2.13,0.45,0.12,1.43,0.03
b2,Herbivore,Female,0.3,96.48,41.74,1.33,1.99,1.58,0.4,0.19,0.86,0.2
b4,Herbivore,Female,0.18,93.99,23.7,2.7,1.82,2.51,0.64,0.6,1.15,0.05
b6,Herbivore,Female,0.42,78.59,27.39,2.13,1.19,1.82,0.36,0.47,1.02,0.09
b4,Herbivore,Female,0.18,75.43999,48.86,2.13,2.3,2.38,0.37,0.53,1.08,0.31
b3,Herbivore,Female,0.22,97.53,8.44,1.13,2.88,1.33,0.25,0.52,1.15,0.05
c2,Herbivore,Female,0.33,27.31,28.93,2.99,2.11,2.76,0.53,0.33,1.07,0.08
b1,Herbivore,Female,0,43.63,13.37,2.12,2.62,2.69,0.19,0.19,0.77,0.23
b3,Herbivore,Female,0.2,78.56,31.49,1.92,1.41,1.23,0.56,0.21,1.13,0.03
b2,Herbivore,Female,0.33,63.77,22.53,2.9,1.8,2.42,0.45,0.52,1.77,0.05
b2,Herbivore,Female,0.01,56.17,34.81,1.02,2.58,1.49,0.35,0.23,0.78,0.02
c4,Herbivore,Female,0.18,75.43999,34.61,1.17,1.17,2.72,0.13,0.23,1,0.2
b2,Herbivore,Female,0.39,85.9,41.11,2.97,2.26,2.13,0.45,0.18,1.43,0.03
c1,Herbivore,Female,0.42,93.04,29.23,1.36,1.84,1.27,0.4,0.47,1.43,0.03
c6,Herbivore,Male,0.55,79.35,17.28,1.66,1.75,2.16,0.66,0.23,0.81,0.01
b3,Herbivore,Female,0.36,35.46,32.99,1.45,1.64,0.5,0.66,0.12,1.7,0.32
c1,Herbivore,Female,0.03,86.58,34.65,2.96,2.74,1.57,0.49,0.25,1.18,0.04
c3,Herbivore,Female,0.05,63.21,17.28,1.66,1.75,0.95,0.66,0.23,0.96,0.01
b4,Herbivore,Female,0.15,75.43999,34.61,1.58,2.95,0.95,0.66,0.23,0.96,0.01
b3,Herbivore,Female,0.05,72.95,17.28,1.66,1.75,0.95,0.66,0.23,0.96,0.01
c2,Herbivore,Female,0.2,70.03,17.28,1.27,2.4,0.52,0.37,0.21,0.61,0.03
c2,Herbivore,Female,0.01,56.17,34.81,1.02,2.98,1.49,0.35,0.23,0.78,0.03
d4,Herbivore,Female,0.15,75.43999,34.61,1.58,2.19,2.69,0.19,0.19,0.84,0.23
b2,Herbivore,Female,0.3,96.48,41.74,1.33,1.99,1.58,0.09999999,0.46,0.86,0.32
b8,Herbivore,Male,0.62,91.13,29.23,2.99,2.24,2.13,0.45,0.62,1.43,0.03
b2,Herbivore,Male,0.89,85.9,20.38,2.44,2.95,2.51,0.55,0.57,0.54,0.32
b2,Herbivore,Male,0.78,15.42,17.28,1.27,2.4,0.52,0.37,0.21,1.63,0.01
b6,Herbivore,Female,0.46,64.15,42.42,1.49,2.19,2.69,0.42,0.19,0.84,0.23
c2,Herbivore,Female,0.33,63.77,31.86,1.62,1.8,2.42,0.45,0.52,1.77,0.05
c2,Herbivore,Female,0.3,96.48,6.42,2.93,2.1,2.15,0.52,0.12,1.7,0.32
c4,Herbivore,Female,0.09,93.99,44.84,2.7,1.82,2.51,0.57,0.6,0.86,0.2
c1,Herbivore,Female,0.03,74.95,34.65,2.69,1.33,2.74,0.4,0.11,0.79,0.08
b4,Herbivore,Female,0.06,57.96,5.07,2.22,2.1,1.1,0.52,0.12,0.79,0.32
c1,Herbivore,Female,0.17,60.48,41.43,1.45,2.22,1.48,0.52,0.12,1.7,0.32
b4,Herbivore,Female,0.15,43.03,44.72,2.13,2.89,0.52,0.64,0.14,1.63,0.04
e4,Herbivore,Female,0.15,43.03,44.72,2.13,2.07,0.52,0.64,0.25,0.54,0.32
d1,Herbivore,Female,0.03,74.95,31.86,2.9,1.8,1.49,0.45,0.52,1.77,0.05
c3,Herbivore,Male,0.89,85.9,20.38,2.44,2.95,2.51,0.55,0.57,1.33,0.32
c3,Herbivore,Female,0.05,72.95,19.91,2.28,2.89,2.95,0.68,0.14,1.63,0.04
c1,Herbivore,Female,0.42,93.04,29.23,1.36,2.89,1.22,0.68,0.14,1.02,0.04
c4,Herbivore,Female,0.15,43.03,44.72,2.44,2.95,2.51,0.55,0.57,0.54,0.32
b2,Herbivore,Male,0.78,15.42,17.28,1.27,1.23,0.52,0.37,0.21,0.54,0.32
b3,Herbivore,Female,0.05,91.13,29.23,2.99,2.24,2.13,0.45,0.62,1.68,0.03
c2,Herbivore,Female,0.3,55.01,6.42,2.93,2.1,2.13,0.34,0.62,1.43,0.03
b2,Herbivore,Female,0.3,55.01,6.42,2.55,2.95,2.13,0.19,0.62,1.43,0.03
d2,Herbivore,Female,0.33,63.77,31.86,1.62,2.62,2.42,0.45,0.62,1.43,0.03
d4,Herbivore,Female,0.09,29.29,44.84,1.81,1.82,2.51,0.57,0.62,1.43,0.03
d2,Herbivore,Male,0.69,99.65,35.91,2.69,1.33,0.63,0.4,0.21,0.79,0.08
c1,Herbivore,Female,0.04,86.57,44.72,2.13,2.89,1.22,0.68,0.14,0.88,0.04
d4,Herbivore,Female,0.15,43.03,6.31,2.44,2.95,2.51,0.55,0.46,0.61,0.32
b2,Herbivore,Male,0.89,45.79,20.38,2.27,2.95,2.45,0.32,0.44,1.25,0.04
b4,Herbivore,Male,0.55,57.96,5.07,2.22,2.1,2.13,0.52,0.55,0.79,0.03
c6,Herbivore,Female,0.46,64.15,35.12,1.11,1.17,0.52,0.14,0.18,1.13,0.03
b2,Herbivore,Male,0.78,15.42,17.28,1.27,1.23,0.52,0.37,0.35,1.34,0.03
c3,Herbivore,Female,0.05,91.13,29.23,2.99,2.25,2.42,0.45,0.52,1.77,0.05
e1,Herbivore,Female,0.04,86.57,44.72,2.13,1.01,1.22,0.68,0.14,1.77,0.05
c4,Herbivore,Female,0.15,68.07,6.31,2.44,2.95,2.51,0.63,0.46,0.53,0.23
c1,Herbivore,Female,0.04,86.57,44.72,2.23,2.89,1.22,0.68,0.14,1.63,0.04
c1,Herbivore,Female,0.17,60.48,7.71,1.45,2.4,2.42,0.45,0.62,1.74,0.05
d1,Herbivore,Female,0.42,93.04,29.23,2.29,2.89,1.22,0.68,0.14,0.79,0.03
d1,Herbivore,Female,0.17,60.48,20.38,2.27,2.95,2.45,0.32,0.44,1.25,0.04
b2,Herbivore,Male,0.78,15.42,17.28,1.27,1.23,0.52,0.37,0.21,1.13,0.03
d1,Herbivore,Female,0.2,86.57,44.72,2.23,2.89,1.22,0.68,0.14,1.63,0.05
c3,Herbivore,Male,0.63,91.13,29.23,2.99,2.25,1.89,0.45,0.52,1.77,0.05
d1,Herbivore,Female,0.45,33.69,44.72,2.23,1.8,2.42,0.45,0.52,1.77,0.05
d3,Herbivore,Male,0.63,91.13,44.72,2.13,2.33,1.22,0.68,0.22,1.9,0.04
c2,Herbivore,Female,0.3,32,6.42,2.55,2.95,2.13,0.19,0.62,0.79,0.08
f1,Herbivore,Male,0.68,24.44,31.82,1.04,1.07,2.45,0.32,0.36,1.56,0.04
c6,Herbivore,Female,0.32,64.15,38.5,1.02,1.17,0.52,0.14,0.18,1.13,0.03
d1,Herbivore,Female,0.42,93.04,29.23,2.29,2.89,1.22,0.68,0.14,1.77,0.05
c3,Herbivore,Male,0.85,30.97,35.12,1.89,1.17,2,0.37,0.29,1.13,0.03
c4,Herbivore,Female,0.15,68.07,6.31,1.19,2.95,2.51,0.63,0.46,0.53,0.04
c1,Herbivore,Female,0.42,93.04,29.23,2.29,2.89,1.22,0.68,0.14,1.63,0.04
b3,Herbivore,Female,0.34,91.13,44.72,2.13,1.65,1.22,0.68,0.22,0.53,0.04
c1,Herbivore,Female,0.17,86.57,35.57,2.13,2.89,1.22,0.27,0.14,1.63,0.04
d2,Herbivore,Female,0.33,63.77,31.86,1.62,2.62,2.68,0.45,0.62,0.87,0.04
d2,Herbivore,Male,0.69,99.56,35.91,2.69,1.33,0.63,0.4,0.36,1.56,0.04
d4,Herbivore,Female,0.15,68.07,6.31,1.19,2.95,2.51,0.63,0.46,0.53,0.04
d1,Herbivore,Male,0.68,71.73,31.82,1.04,1.07,2.45,0.32,0.36,1.56,0.04
c3,Herbivore,Female,0.34,91.13,38.71,2.13,1.65,1.22,0.2,0.22,0.53,0.05
b2,Herbivore,Male,0.8,38.2,6.42,2.13,1.65,1.22,0.2,0.22,0.53,0.05
d1,Herbivore,Male,0.58,86.57,44.72,2.13,2.92,1.85,0.68,0.14,1.12,0.04
d6,Herbivore,Female,0.32,64.15,38.5,1.02,1.17,0.52,0.14,0.52,0.63,0.05
c1,Herbivore,Male,0.68,71.73,31.82,1.04,2.29,2.45,0.32,0.36,1.56,0.04
e2,Herbivore,Female,0.33,63.77,31.86,1.62,2.62,2.68,0.45,0.62,0.87,0.05
b2,Herbivore,Male,0.78,71.62,17.28,1.27,1.91,0.58,0.26,0.22,0.53,0.05
e1,Herbivore,Male,0.68,71.73,31.82,1.04,2.29,1.58,0.32,0.36,1.06,0.05
f1,Herbivore,Male,0.85,30.97,35.12,1.89,1.17,2,0.37,0.29,1.13,0.03
d2,Herbivore,Female,0.33,63.77,31.86,1.62,1.65,2.85,0.2,0.22,0.53,0.05
c1,Herbivore,Female,0.17,86.57,35.57,2.13,2.89,2,0.37,0.29,1.13,0.03
c3,Herbivore,Male,0.85,30.97,35.12,1.89,1.49,2,0.37,0.29,1.13,0.05
c6,Herbivore,Female,0.32,64.15,38.5,1.04,1.07,2.45,0.32,0.31,1.56,0.04
c2,Herbivore,Male,0.8,38.2,6.42,2.13,2.92,2.02,0.68,0.14,1.12,0.04
d3,Herbivore,Female,0.34,91.13,38.71,2.13,1.75,0.57,0.37,0.29,1.13,0.03
c4,Herbivore,Female,0.15,68.07,6.31,1.19,2.95,2.51,0.63,0.21,1.13,0.03
d4,Herbivore,Male,0.85,37.84,35.12,1.11,1.17,0.52,0.37,0.21,1.13,0.03
c3,Herbivore,Male,0.67,91.13,38.71,1.89,1.17,2,0.37,0.29,1.13,0.03
d6,Herbivore,Female,0.32,56.44,35.91,2.69,1.33,0.63,0.4,0.23,1.56,0.04
e2,Herbivore,Female,0.33,63.77,31.86,2.7,1.65,2.85,0.37,0.29,0.89,0.05
c1,Herbivore,Male,0.67,91.13,38.71,1.89,1.17,2,0.37,0.29,1.13,0.03
b2,Herbivore,Male,0.89,45.79,20.38,2.27,2.95,2.45,0.32,0.44,1.25,0.05
e2,Herbivore,Female,0.33,28.87,38.71,1.89,1.17,2,0.41,0.29,0.98,0.03
d1,Herbivore,Female,0.17,86.57,35.57,2.13,1.49,2,0.37,0.29,1.13,0.05
d1,Herbivore,Male,0.85,30.97,35.12,2.93,1.17,2,0.37,0.29,0.75,0.03
c6,Herbivore,Female,0.32,83.93999,35.91,2.69,1.33,1.38,0.4,0.23,1.63,0.03
c1,Herbivore,Female,0.17,86.57,35.57,1.67,1.07,2.45,0.68,0.2,1.56,0.04
b2,Herbivore,Female,0.46,71.62,35.12,2.93,1.17,2,0.14,0.29,0.75,0.03
d1,Herbivore,Male,0.85,30.97,35.12,2.93,1.17,2,0.7,0.29,1.13,0.03
d2,Herbivore,Female,0.33,28.87,38.71,1.89,1.17,2,0.41,0.29,0.98,0.05
d1,Herbivore,Male,0.85,30.97,35.12,2.93,1.17,2.42,0.45,0.52,1.77,0.05
d2,Herbivore,Female,0.46,91.13,30.37,1.89,1.17,1.77,0.37,0.67,1.13,0.03
f2,Herbivore,Female,0.33,30.97,35.12,2.93,1.17,0.92,0.68,0.52,1.77,0.05
f2,Herbivore,Female,0.33,71.1,35.12,2.93,1.17,1.26,0.13,0.52,1.77,0.05
d1,Herbivore,Female,0.17,86.57,7.06,2.93,1.17,2.42,0.45,0.52,1.77,0.05
d1,Herbivore,Female,0.17,86.57,7.06,2.93,1.17,2.42,0.45,0.29,1.13,0.05
e6,Herbivore,Female,0.32,83.93999,35.91,2.69,1.33,1.38,0.4,0.69,1.69,0.05
f1,Herbivore,Male,0.85,30.97,35.12,2.93,1.3,2.42,0.45,0.52,1.77,0.05
b2,Herbivore,Female,0.46,91.13,30.37,1.89,2.45,2.42,0.45,0.52,1.77,0.05
c3,Herbivore,Female,0.11,91.13,14,1.89,1.17,2,0.37,0.29,1.33,0.03
b2,Herbivore,Male,0.89,45.79,20.38,2.27,2.95,2.45,0.32,0.44,1.25,0.05
c6,Herbivore,Female,0.32,91.13,37.3,1.89,1.17,2,0.37,0.29,1.33,0.03
c4,Herbivore,Male,0.85,37.84,16.62,1.11,2.27,0.52,0.37,0.21,1.13,0.03
d1,Herbivore,Male,0.85,30.97,35.12,2.93,2.31,2.42,0.28,0.52,0.95,0.05
d6,Herbivore,Female,0.32,20,37.3,1.11,1.48,0.52,0.37,0.21,1.13,0.03
d4,Herbivore,Male,0.85,37.84,16.62,1.89,1.49,2,0.37,0.29,1.13,0.05
d6,Herbivore,Female,0.32,91.13,14,2.59,1.17,2,0.37,0.29,1.27,0.03
e2,Herbivore,Female,0.07,71.1,35.12,2.93,1.17,1.26,0.42,0.52,0.95,0.05
c1,Herbivore,Female,0.17,86.57,7.06,2.93,1.17,2.42,0.26,0.29,0.95,0.05
c3,Herbivore,Female,0.11,91.13,14,1.89,1.17,2,0.34,0.29,1.33,0.03
e2,Herbivore,Female,0.46,91.13,30.37,2.77,2.45,2.42,0.68,0.52,1.25,0.05
c2,Herbivore,Male,0.8,38.2,6.42,2.13,2.92,2.02,0.53,0.29,1.41,0.03
c3,Herbivore,Male,0.85,57.33,35.12,1.89,1.49,2,0.37,0.11,1.33,0.03
c6,Herbivore,Female,0.32,91.13,35.12,2.93,2.31,2.42,0.28,0.52,0.95,0.05
e3,Herbivore,Female,0.11,91.13,15.55,1.89,1.17,2,0.34,0.52,0.95,0.05
b2,Herbivore,Female,0.46,91.13,30.37,2.77,2.45,2.42,0.29,0.52,0.66,0.05
d1,Herbivore,Male,0.85,30.97,35.12,2.63,2.87,2.42,0.28,0.52,0.95,0.05
e2,Herbivore,Male,0.89,45.79,12.94,2.27,2.95,2.45,0.31,0.44,1.25,0.05
f2,Herbivore,Female,0.46,90.42,30.37,2.77,2.45,2.42,0.24,0.52,1.13,0.05
d1,Herbivore,Female,0.17,49.53,7.06,2.28,1.17,2.42,0.37,0.68,1.13,0.05
d2,Herbivore,Male,0.89,45.79,12.94,2.27,2.95,1.96,0.32,0.44,1.25,0.05
d3,Herbivore,Female,0.47,91.13,34.83,1.89,1.17,2,0.37,0.11,1.33,0.03
e2,Herbivore,Female,0.46,67.21,30.37,2.77,2.45,2.42,0.24,0.29,1.13,0.05
d1,Herbivore,Female,0.17,49.53,34.83,1.89,1.17,2,0.62,0.11,1.74,0.03
e6,Herbivore,Female,0.32,47.81,5.85,1.89,2.95,2.13,0.37,0.11,1.33,0.03
f2,Herbivore,Female,0.04,45.79,12.94,2.27,2.95,2,0.37,0.11,0.81,0.03
d6,Herbivore,Female,0.21,55.08,5.85,1.89,1.96,2.13,0.43,0.11,1.33,0.03
d4,Herbivore,Male,0.85,37.84,16.62,1.89,1.49,2,0.37,0.29,1.13,0.03
c2,Herbivore,Male,0.8,18.25,6.42,2.13,2.92,2.02,0.58,0.29,1.13,0.03
e3,Herbivore,Female,0.47,91.13,34.83,1.89,1.17,2.99,0.37,0.64,0.81,0.03
f1,Herbivore,Male,0.85,28.6,36.58,2.63,1.17,2.71,0.37,0.64,0.81,0.03
b2,Herbivore,Female,0.46,67.21,30.37,2.63,1.17,2.71,0.37,0.64,0.81,0.03
c2,Herbivore,Female,0.46,67.21,30.37,2.63,1.17,1.39,0.37,0.64,1.58,0.03
c1,Herbivore,Female,0.17,62.55,34.83,1.89,1.17,2,0.62,0.11,0.81,0.03
e2,Herbivore,Female,0.04,81.08,38.71,1.89,1.17,2,0.37,0.29,1.13,0.03
d1,Herbivore,Male,0.85,28.6,36.58,1.89,1.17,2.99,0.37,0.64,0.81,0.03
d2,Herbivore,Female,0.04,48.26,38.71,1.89,1.17,2,0.3,0.29,1.13,0.05
f2,Herbivore,Male,0.86,67.21,30.37,2.63,2.3,2.99,0.37,0.64,0.81,0.03
f3,Herbivore,Female,0.47,91.13,34.83,1.89,1.17,2.73,0.37,0.15,0.81,0.03
c6,Herbivore,Female,0.21,28.6,20.83,1.95,1.17,1.03,0.16,0.64,0.81,0.03
c4,Herbivore,Male,0.85,37.84,16.62,1.89,1.49,2,0.37,0.16,1.13,0.03
e3,Herbivore,Female,0.47,91.13,35.12,1.89,1.49,2,0.37,0.11,1.33,0.03
c2,Herbivore,Female,0.22,67.21,47.13,1.2,1.17,1.48,0.37,0.69,0.81,0.03
b2,Herbivore,Female,0.22,97.77,47.13,1.2,2.44,2,0.37,0.11,0.92,0.03
c2,Herbivore,Female,0.22,97.77,14.19,1.2,2.44,2,0.37,0.11,0.92,0.03
d1,Herbivore,Male,0.85,28.6,36.58,2.07,1.17,2.99,0.37,0.64,0.81,0.03
