Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
c3,Herbivore,Male,0.85,55.43,38.39,2.32,1.74,2.47,0.37,0.52,1.13,0.03
g3,Herbivore,Female,0.44,91.13,32.9,2.9,1.49,1.56,0.37,0.52,1.13,0.03
b2,Herbivore,Female,0.44,55.43,43.58,2.32,1.49,2.47,0.37,0.52,1.13,0.03
d2,Herbivore,Female,0.44,55.43,43.58,2.32,1.49,2.47,0.61,0.52,1.13,0.03
f3,Herbivore,Female,0.44,79.86,11.62,2.32,1.49,2.47,0.55,0.52,1.13,0.03
c3,Herbivore,Female,0.44,41.12,11.62,2.32,1.49,2.47,0.55,0.52,1.13,0.03
f2,Herbivore,Male,0.84,97.13,35.01,2.32,1.57,0.54,0.4,0.48,0.9,0.03
e3,Herbivore,Female,0.44,41.12,11.62,2.32,1.49,2.47,0.42,0.52,1.13,0.03
g2,Herbivore,Male,0.55,55.43,43.58,2.32,1.49,2.47,0.37,0.61,0.98,0.03
f3,Herbivore,Female,0.44,41.12,38.39,2.24,1.74,2.47,0.58,0.52,1.13,0.03
d6,Herbivore,Female,0.29,19.26,38.72,2.27,2.6,2.55,0.12,0.48,1.64,0.03
c6,Herbivore,Female,0.29,10.64,38.72,2.32,1.74,2.47,0.37,0.52,1.13,0.03
e2,Herbivore,Male,0.55,55.43,43.58,2.32,1.49,2.47,0.37,0.52,1.13,0.03
d6,Herbivore,Female,0.29,12.83,38.39,2.32,1.33,2.47,0.37,0.23,1.13,0.03
e1,Herbivore,Male,0.85,20.01,38.39,2.32,1.42,2.47,0.44,0.52,0.62,0.03
e2,Herbivore,Female,0.31,70.99,41.9,2.32,1.25,2.47,0.37,0.52,1.13,0.03
d2,Herbivore,Female,0.31,61.72,12.53,2.32,2.25,2.47,0.37,0.52,1.13,0.03
c3,Herbivore,Female,0.03,55.43,38.39,2.32,1.74,2.47,0.37,0.31,1.13,0.03
c4,Herbivore,Male,0.65,37.84,38.32,2.9,1.49,2,0.37,0.48,0.9,0.03
g3,Herbivore,Female,0.44,41.12,38.39,1.37,1.49,2,0.37,0.48,0.9,0.03
e6,Herbivore,Female,0.29,12.83,38.39,2.32,1.33,2.47,0.37,0.52,1.13,0.03
e2,Herbivore,Male,0.84,59.1,29.83,2.32,1.57,2.47,0.37,0.31,1.93,0.03
c2,Herbivore,Female,0.31,61.72,12.53,2.32,1.49,2,0.37,0.48,0.9,0.03
e3,Herbivore,Female,0.44,60.01,38.39,1.37,1.49,2,0.37,0.48,0.9,0.03
f3,Herbivore,Female,0.27,42.62,38.39,2.5,1.49,2,0.51,0.52,0.66,0.03
d1,Herbivore,Male,0.85,20.01,38.39,2.32,1.42,2,0.57,0.48,0.9,0.03
e2,Herbivore,Female,0.31,15.43,12.53,2.32,1.49,2,0.37,0.48,0.9,0.03
d6,Herbivore,Male,0.83,12.83,12.53,2.32,1.49,2,0.37,0.48,0.9,0.03
d1,Herbivore,Female,0.25,37.84,19.63,2.9,1.23,2,0.33,0.29,1.33,0.03
d6,Herbivore,Male,0.83,91.42,38.71,1.9,1.17,2,0.37,0.63,1.13,0.03
d3,Herbivore,Male,0.76,55.43,38.39,2.32,1.51,2,0.37,0.48,1.58,0.03
d3,Herbivore,Female,0.27,42.62,38.39,2.5,1.9,2.47,0.37,0.31,1.93,0.03
f6,Herbivore,Male,0.83,61.12,38.71,1.07,1.17,2.47,0.37,0.31,1.93,0.03
h3,Herbivore,Female,0.09999999,42.62,29.83,2.32,1.57,2.47,0.37,0.31,1.93,0.03
d2,Herbivore,Female,0.31,15.43,12.53,2.32,1.57,2,0.37,0.48,1.58,0.03
e3,Herbivore,Female,0.09999999,42.62,29.83,2.32,2.33,2.47,0.37,0.31,1.61,0.03
f3,Herbivore,Male,0.85,20.01,38.39,2.32,1.42,2,0.44,0.48,0.9,0.03
c6,Herbivore,Male,0.63,20.01,16.95,2.32,1.12,2,0.57,0.48,1.96,0.03
g3,Herbivore,Male,0.85,20.01,43.08,2.32,1.42,2.02,0.57,0.48,0.9,0.03
f2,Herbivore,Male,0.98,15.43,12.53,2.32,1.57,2.95,0.47,0.48,1.58,0.03
c3,Herbivore,Male,0.63,20.01,16.95,2.32,2.52,2,0.57,0.48,1.96,0.03
g3,Herbivore,Female,0.46,73.74,44.22,2.32,1.42,2,0.57,0.48,1.27,0.03
f2,Herbivore,Male,0.84,59.1,29.83,2.32,1.57,2.47,0.37,0.48,0.74,0.03
e2,Herbivore,Male,0.98,20.01,16.95,2.32,1.94,2,0.57,0.48,1.96,0.03
b2,Herbivore,Male,0.98,20.01,16.95,2.32,1.94,2,0.57,0.48,0.76,0.03
f1,Herbivore,Female,0.25,37.84,19.63,2.9,1.95,2,0.33,0.29,0.76,0.03
d2,Herbivore,Male,0.98,20.01,16.95,2.61,1.94,2,0.4,0.48,1.82,0.03
c2,Herbivore,Male,0.98,74.7,16.95,2.6,1.42,2,0.53,0.36,1.47,0.03
c2,Herbivore,Male,0.8,18.25,6.42,2.32,1.49,0.84,0.3,0.52,0.56,0.03
f2,Herbivore,Male,0.84,59.1,16.95,2.6,1.38,2,0.31,0.36,1.47,0.03
c3,Herbivore,Male,0.88,26.79,44.22,2.6,1.38,2,0.31,0.36,1.47,0.03
c2,Herbivore,Male,0.98,74.7,16.95,2.6,1.42,2,0.53,0.15,1.47,0.03
e2,Herbivore,Female,0.25,59.1,16.95,2.6,1.38,2,0.51,0.62,1.47,0.03
e3,Herbivore,Male,0.88,26.79,44.22,2.6,1.21,2,0.12,0.62,1.47,0.03
e6,Herbivore,Male,0.63,20.01,16.95,2.32,1.07,2,0.57,0.48,1.96,0.03
d6,Herbivore,Male,0.87,20.01,38.14,2.32,1.07,2,0.57,0.62,0.56,0.03
e3,Herbivore,Female,0.04,26.79,29.38,2.6,1.21,2,0.51,0.62,1.47,0.03
e2,Herbivore,Female,0.23,74.7,16.95,2.6,1.42,2,0.27,0.15,1.47,0.03
b2,Herbivore,Female,0.23,74.7,47.33,2.48,1.42,2,0.27,0.15,1.47,0.03
d1,Herbivore,Male,0.83,74.05,19.63,2.9,1.14,2,0.33,0.19,0.76,0.03
f3,Herbivore,Female,0.04,35.68,38.71,1.89,1.17,2,0.37,0.39,1.13,0.03
g3,Herbivore,Female,0.04,35.68,38.71,1.72,1.17,2,0.37,0.39,0.56,0.03
d1,Herbivore,Female,0.23,74.7,47.33,2.48,2.46,2,0.27,0.11,0.72,0.03
d2,Herbivore,Female,0.23,74.7,38.57,2.28,1.42,2,0.27,0.62,1.47,0.03
e3,Herbivore,Female,0.04,30.51,38.71,1.57,1.17,2,0.37,0.39,0.57,0.03
c2,Herbivore,Female,0.23,74.7,38.57,2.28,1.42,2,0.27,0.62,1.47,0.03
c2,Herbivore,Female,0.23,74.7,38.57,2.28,1.42,2,0.27,0.62,1.47,0.03
h3,Herbivore,Female,0.04,30.51,38.71,1.67,1.17,0.9,0.37,0.39,0.57,0.03
e3,Herbivore,Female,0.04,30.51,29.88,1.67,2.45,0.9,0.63,0.39,0.57,0.03
g3,Herbivore,Female,0.04,30.51,27.1,1.67,2.45,0.9,0.64,0.62,1.47,0.03
e2,Herbivore,Female,0.25,59.1,30.38,1.21,2.45,2.11,0.64,0.62,1.47,0.03
h3,Herbivore,Female,0.04,30.51,27.1,2.89,2.45,0.9,0.37,0.29,1.02,0.03
g3,Herbivore,Female,0.04,30.51,27.1,2.89,2.45,2.74,0.33,0.29,1.13,0.03
h3,Herbivore,Female,0.04,30.51,27.1,1.37,1.17,2,0.37,0.29,1.13,0.03
f3,Herbivore,Female,0.04,30.51,49.6,1.21,2.45,2.11,0.48,0.62,1.47,0.03
f3,Herbivore,Male,0.9899999,30.51,39.29,1.21,2.45,2.11,0.64,0.62,1.47,0.03
d2,Herbivore,Female,0.23,46.34,38.57,2.28,1.42,2,0.27,0.62,1.47,0.03
e2,Herbivore,Female,0.23,46.34,38.57,2.28,2.45,1.53,0.33,0.62,1.47,0.03
d1,Herbivore,Female,0.23,74.7,13.22,1.21,2.45,2.11,0.64,0.62,1.47,0.03
e2,Herbivore,Female,0.15,46.34,38.57,2.28,2.45,1.53,0.33,0.62,1.47,0.03
c2,Herbivore,Male,0.8,59.1,16.19,1.21,2.45,2.11,0.17,0.14,1.47,0.03
d2,Herbivore,Female,0.25,59.1,30.38,2.48,2.45,2.11,0.64,0.45,1.47,0.03
b2,Herbivore,Female,0.25,59.1,30.38,2.48,2.45,0.6,0.64,0.62,1.47,0.03
c2,Herbivore,Female,0.25,59.1,30.38,2.45,2.45,2.52,0.64,0.56,1.64,0.03
g3,Herbivore,Male,0.9899999,30.51,13.69,1.21,2.45,2.11,0.68,0.62,0.77,0.03
e3,Herbivore,Male,0.9899999,30.51,13.69,1.87,2.45,2.11,0.57,0.62,0.56,0.03
e6,Herbivore,Male,0.87,20.01,38.14,2.32,1.07,1.92,0.57,0.62,0.56,0.03
c2,Herbivore,Female,0.25,59.1,15.01,2.45,2.45,2.52,0.7,0.56,1.64,0.03
d2,Herbivore,Female,0.25,59.1,30.38,1.21,1.34,2.11,0.64,0.62,0.72,0.03
f3,Herbivore,Male,0.9899999,30.51,13.69,1.87,2.45,1.53,0.57,0.62,0.56,0.03
f3,Herbivore,Male,0.9899999,83.24,37.57,1.87,2.45,1.53,0.12,0.62,0.56,0.03
g3,Herbivore,Male,0.9899999,83.24,22.32,1.87,1.34,2.11,0.64,0.69,0.72,0.03
d1,Herbivore,Male,0.52,74.7,45.95,1.21,1.88,0.65,0.28,0.62,0.72,0.03
e2,Herbivore,Female,0.25,59.1,30.38,1.89,2.45,2.11,0.25,0.62,1.47,0.03
b2,Herbivore,Female,0.25,59.1,41.1,1.21,2.7,2.11,0.43,0.14,1.47,0.03
e3,Herbivore,Male,0.9899999,83.24,14.59,1.87,1.28,1.32,0.37,0.13,1.13,0.03
g3,Herbivore,Male,0.82,83.24,14.59,1.87,1.28,1.32,0.21,0.13,1.13,0.03
d1,Herbivore,Male,0.67,91.13,38.71,1.89,1.17,2,0.7,0.29,1.13,0.03
d2,Herbivore,Female,0.25,59.1,41.1,1.21,2.7,2.11,0.37,0.14,1.47,0.03
f2,Herbivore,Female,0.25,89.66,7.69,2.7,1.28,1.32,0.55,0.13,1.38,0.03
h3,Herbivore,Female,0.34,83.24,14.59,1.87,2.33,1.68,0.21,0.13,0.9,0.03
h3,Herbivore,Male,0.83,83.24,26.85,1.87,2.33,1.68,0.21,0.13,0.9,0.03
g3,Herbivore,Male,0.83,83.24,26.85,2.5,2.33,1.82,0.27,0.13,0.9,0.03
c3,Herbivore,Male,0.76,83.24,26.85,2.5,2.33,2,0.7,0.29,1.13,0.03
f2,Herbivore,Female,0.25,59.1,49.26,1.89,1.05,2.11,0.25,0.62,1.47,0.03
d1,Herbivore,Male,0.9899999,74.7,45.95,1.06,1.05,2.11,0.29,0.62,1.47,0.03
e3,Herbivore,Male,0.76,83.24,46.59,2.5,2.33,1.92,0.57,0.52,0.56,0.03
f2,Herbivore,Male,0.67,79.22,15.08,1.89,1.17,2,0.37,0.29,1.13,0.03
b2,Herbivore,Male,0.67,79.22,38.71,1.89,1.17,2,0.37,0.29,1.13,0.03
d6,Herbivore,Male,0.87,20.01,38.14,2.32,1.07,1.21,0.37,0.29,1.68,0.03
f1,Herbivore,Male,0.67,91.13,38.71,1.89,1.17,2.72,0.35,0.54,1.13,0.03
f2,Herbivore,Male,0.67,79.22,38.71,1.03,1.17,2,0.37,0.43,0.9,0.03
c3,Herbivore,Male,0.63,20.01,16.95,2.32,2.33,1.92,0.57,0.61,1.53,0.03
e1,Herbivore,Male,0.9899999,83.24,46.59,2.5,2.33,1.92,0.57,0.52,0.56,0.03
f3,Herbivore,Male,0.76,83.24,46.59,2.5,2.33,1.92,0.57,0.2,0.56,0.03
d2,Herbivore,Male,0.67,79.22,26.34,1.03,1.17,1.92,0.57,0.2,0.56,0.03
h3,Herbivore,Male,0.76,83.24,11.85,2.31,2.33,1.92,0.57,0.2,0.56,0.03
c3,Herbivore,Male,0.67,97.91,45.58,1.89,1.17,2,0.37,0.29,1.13,0.03
g2,Herbivore,Female,0.12,59.1,29.47,1.89,1.17,2,0.31,0.29,1.41,0.03
c2,Herbivore,Male,0.67,79.22,26.34,1.03,1.17,1.92,0.57,0.2,0.56,0.03
c2,Herbivore,Male,0.67,91.13,38.71,2.65,2.05,2,0.37,0.57,0.51,0.03
e2,Herbivore,Male,0.67,91.13,38.71,2.65,2.05,2,0.62,0.55,0.98,0.03
e6,Herbivore,Male,0.87,27.02,45.58,1.89,1.46,2,0.37,0.29,1.13,0.03
b2,Herbivore,Male,0.67,69.35,38.71,2.65,1.17,2.93,0.37,0.29,1.13,0.03
d1,Herbivore,Male,0.67,91.13,38.71,1.89,1.3,2.72,0.35,0.29,1.13,0.03
d1,Herbivore,Male,0.9899999,83.24,46.59,2.5,2.88,2.93,0.37,0.29,1.13,0.03
h3,Herbivore,Female,0.38,97.91,45.58,1.89,1.17,2,0.56,0.27,1.13,0.03
f2,Herbivore,Male,0.67,69.35,13.21,1.14,1.3,2.72,0.35,0.34,1.13,0.03
c2,Herbivore,Female,0.38,77.2,45.58,1.89,1.17,2,0.45,0.27,0.9,0.03
e2,Herbivore,Female,0.32,69.35,34.93,1.14,1.3,2.72,0.61,0.34,1.13,0.03
f3,Herbivore,Female,0.18,97.91,45.58,1.89,1.17,2,0.62,0.51,1.81,0.03
c2,Herbivore,Female,0.32,69.35,45.58,1.89,1.46,2,0.37,0.29,1.13,0.03
f2,Herbivore,Female,0.12,59.1,29.47,2.95,1.17,2,0.62,0.51,1.07,0.03
e2,Herbivore,Female,0.12,59.1,45.58,1.89,1.17,2,0.62,0.51,1.64,0.03
d2,Herbivore,Male,0.87,27.02,9.71,1.76,1.46,2,0.7,0.59,1.13,0.03
f3,Herbivore,Female,0.18,97.91,45.58,1.89,1.17,2,0.35,0.29,1.13,0.03
e2,Herbivore,Female,0.12,27.02,9.71,1.76,1.46,2,0.7,0.59,1.13,0.03
e2,Herbivore,Female,0.12,27.02,9.71,2.5,2.88,2.93,0.09999999,0.29,1.13,0.03
c3,Herbivore,Male,0.87,97.91,45.58,1.89,1.3,2.72,0.32,0.29,1.13,0.03
g2,Herbivore,Female,0.12,59.1,45.58,1.89,1.3,2.72,0.39,0.29,1.13,0.03
c2,Herbivore,Male,0.76,61.22,9.71,2.5,2.88,2.93,0.09999999,0.29,0.98,0.03
h2,Herbivore,Female,0.12,59.1,45.58,1.89,1.3,2.72,0.39,0.29,0.9899999,0.03
c2,Herbivore,Male,0.76,97.91,45.58,1.89,1.3,2.72,0.58,0.29,1.13,0.03
b2,Herbivore,Male,0.76,97.91,45.58,1.89,1.3,2.72,0.58,0.29,1.13,0.03
e3,Herbivore,Male,0.76,97.91,45.58,1.89,1.3,2.72,0.58,0.29,1.13,0.03
c3,Herbivore,Male,0.63,34.6,16.95,2.4,2.33,1.92,0.35,0.29,1.13,0.03
d2,Herbivore,Female,0.4,77.2,45.58,1.53,2.88,2.63,0.56,0.29,1.13,0.03
c2,Herbivore,Female,0.4,77.2,45.58,1.6,1.3,2.72,0.5,0.14,1.13,0.03
h3,Herbivore,Female,0.03,97.91,45.58,1.89,1.3,0.82,0.58,0.15,1.26,0.03
d1,Herbivore,Male,0.67,91.13,38.97,1.89,1.3,2.25,0.35,0.29,1.13,0.03
h2,Herbivore,Female,0.12,59.1,45.58,1.89,1.3,2.93,0.37,0.29,1.13,0.03
e2,Herbivore,Male,0.76,97.91,45.58,1.89,1.3,2.72,0.58,0.29,1.57,0.03
c2,Herbivore,Male,0.76,97.91,16.72,1.89,1.3,2.72,0.58,0.29,1.73,0.03
d2,Herbivore,Male,0.76,87.23,16.72,1.89,1.66,2.72,0.67,0.43,1.73,0.03
f1,Herbivore,Male,0.76,87.23,16.72,1.89,1.66,2.72,0.67,0.43,0.89,0.03
d6,Herbivore,Male,0.62,27.02,45.58,2.11,1.17,2,0.37,0.29,1.13,0.03
g3,Herbivore,Female,0.03,97.91,45.58,1.89,1.66,0.95,0.67,0.43,1.73,0.03
i2,Herbivore,Female,0.12,97.91,45.58,1.89,1.66,0.95,0.17,0.43,1.74,0.03
f2,Herbivore,Male,0.76,87.23,16.72,1.89,1.66,2.72,0.43,0.43,1.73,0.03
f2,Herbivore,Female,0.12,87.23,16.72,2.19,1.66,2.72,0.43,0.43,1.73,0.03
g3,Herbivore,Female,0.03,97.91,45.58,1.89,2.75,0.95,0.67,0.43,1.73,0.03
g2,Herbivore,Female,0.03,87.23,16.72,2.19,1.66,2.72,0.15,0.43,1.92,0.03
b2,Herbivore,Male,0.76,32.19,16.72,2.18,2.88,2.93,0.37,0.29,1.13,0.03
e2,Herbivore,Female,0.4,77.2,45.58,1.6,1.3,2.72,0.5,0.29,1.13,0.03
g3,Herbivore,Female,0.03,97.91,45.58,2.31,1.1,2.93,0.37,0.29,1.13,0.03
f2,Herbivore,Female,0.03,87.23,16.72,2.01,2.88,2.93,0.37,0.29,1.87,0.03
c2,Herbivore,Male,0.76,65.58,16.72,2.18,2.88,2.93,0.37,0.29,1.13,0.03
d2,Herbivore,Male,0.62,27.02,45.58,2.33,1.17,2,0.37,0.29,1.75,0.03
e2,Herbivore,Male,0.6,87.23,45.58,2.31,1.1,2.93,0.37,0.29,1.13,0.03
c3,Herbivore,Female,0.03,27.05,45.58,2.31,1.5,2.93,0.37,0.29,1.13,0.03
i2,Herbivore,Male,0.6,10.36,45.73,2.31,1.5,2.93,0.37,0.29,1.13,0.03
d2,Herbivore,Male,0.76,65.58,16.72,2.18,2.88,2.93,0.37,0.29,1.07,0.03
d1,Herbivore,Male,0.9899999,83.24,16.72,2.96,1.66,2.72,0.67,0.43,0.89,0.03
f2,Herbivore,Male,0.76,32.26,16.72,1.89,1.78,2.58,0.67,0.31,0.89,0.03
e2,Herbivore,Male,0.76,32.26,16.72,1.89,1.66,2.72,0.67,0.43,0.89,0.03
c3,Herbivore,Female,0.5,34.6,16.95,1.07,2.33,1.92,0.35,0.29,0.89,0.03
c2,Herbivore,Male,0.76,73.89,16.72,1.89,1.66,2.72,0.67,0.16,0.93,0.03
d2,Herbivore,Male,0.76,73.89,34.88,1.89,1.66,1.23,0.67,0.16,0.89,0.03
c2,Herbivore,Male,0.62,27.02,34.88,1.76,2.1,1.23,0.67,0.16,0.89,0.03
h3,Herbivore,Female,0.03,27.05,45.58,2.31,1.5,2.93,0.67,0.16,0.95,0.03
d2,Herbivore,Female,0.35,27.02,34.88,1.07,2.98,1.92,0.36,0.29,0.89,0.03
d1,Herbivore,Male,0.76,87.23,16.72,1.89,1.66,1.23,0.67,0.44,0.85,0.03
f2,Herbivore,Female,0.35,27.02,34.88,2.31,1.5,2.93,0.29,0.6,0.95,0.03
f2,Herbivore,Male,0.6,10.36,34.88,1.89,1.66,1.23,0.67,0.33,1.83,0.03
b2,Herbivore,Male,0.76,91.13,38.71,1.89,2.2,0.82,0.37,0.29,1.13,0.03
h2,Herbivore,Male,0.6,10.36,34.88,1.89,1.66,1.23,0.67,0.33,1.13,0.03
g2,Herbivore,Male,0.6,10.36,45.58,2.31,1.5,2.93,0.45,0.16,0.95,0.03
f2,Herbivore,Male,0.6,10.36,45.58,2.31,1.5,2.93,0.37,0.29,1.13,0.03
i3,Herbivore,Male,0.86,83.24,16.72,1.17,1.66,2.72,0.67,0.28,0.89,0.03
e2,Herbivore,Female,0.35,46.09,19.3,2.31,1.5,2.93,0.24,0.29,1.13,0.03
g3,Herbivore,Male,0.86,83.24,16.72,1.17,1.66,2.72,0.67,0.28,0.54,0.03
h3,Herbivore,Male,0.86,83.24,16.72,1.53,1.66,2.72,0.67,0.28,1.13,0.03
g3,Herbivore,Male,0.86,83.24,22.9,1.89,2.2,0.82,0.37,0.29,1.16,0.03
d6,Herbivore,Female,0.13,10.36,45.58,2.31,1.08,2.93,0.37,0.29,1.13,0.03
d3,Herbivore,Male,0.86,83.24,22.9,1.89,2.2,2.69,0.37,0.29,1.13,0.03
i2,Herbivore,Male,0.6,10.36,29.1,2.31,1.5,2.93,0.37,0.29,1.13,0.03
e2,Herbivore,Male,0.76,91.13,49.24,1.89,2.2,1.23,0.67,0.44,0.85,0.03
c3,Herbivore,Male,0.76,91.13,49.24,1.89,2.2,1.56,0.67,0.44,0.85,0.03
c3,Herbivore,Male,0.76,87.23,16.72,1.89,1.66,1.23,0.67,0.44,1.28,0.03
g2,Herbivore,Female,0.35,91.13,49.24,1.2,2.2,1.23,0.67,0.12,0.85,0.03
h2,Herbivore,Male,0.6,10.36,41.94,2.31,1.5,2.93,0.67,0.44,0.85,0.03
d2,Herbivore,Female,0.35,91.13,49.24,2.74,2.2,1.23,0.67,0.12,0.85,0.03
c2,Herbivore,Male,0.76,68.21,49.24,2.27,2.2,1.23,0.67,0.44,0.85,0.03
d2,Herbivore,Male,0.76,57.39,45.58,2.31,1.08,2.93,0.37,0.29,1.13,0.03
d2,Herbivore,Male,0.9899999,83.24,16.72,2.96,1.66,2.72,0.67,0.43,0.89,0.03
f2,Herbivore,Female,0.35,10.36,45.58,2.31,1.08,2.93,0.37,0.29,1.81,0.03
h3,Herbivore,Male,0.76,87.23,16.72,1.89,1.66,1.23,0.67,0.44,0.85,0.03
i3,Herbivore,Male,0.76,87.23,16.72,2.31,1.12,2.93,0.67,0.44,0.85,0.03
f2,Herbivore,Female,0.35,10.36,37.48,2.31,1.08,2.93,0.37,0.44,0.85,0.03
e2,Herbivore,Male,0.76,54.79,16.72,2.01,2.44,2.93,0.45,0.44,0.85,0.03
f2,Herbivore,Female,0.09999999,83.24,16.72,2.96,1.66,2.72,0.67,0.44,0.85,0.03
g3,Herbivore,Male,0.76,87.23,16.72,2.31,1.12,2.93,0.67,0.44,0.85,0.03
e6,Herbivore,Female,0.13,37.2,45.58,2.31,1.08,2.93,0.37,0.44,0.85,0.03
h3,Herbivore,Male,0.76,87.23,16.72,2.05,1.3,2.93,0.67,0.47,0.85,0.03
f2,Herbivore,Male,0.6,10.36,41.94,2.31,1.5,2.72,0.67,0.52,0.85,0.03
i3,Herbivore,Male,0.57,80.95,16.72,1.89,1.66,1.23,0.67,0.44,0.85,0.03
c2,Herbivore,Male,0.91,54.79,16.72,2.01,1.17,2,0.31,0.29,1.13,0.03
e2,Herbivore,Female,0.09999999,12.66,16.72,2.96,1.66,2.72,0.67,0.44,0.85,0.03
b2,Herbivore,Female,0.09999999,12.66,16.72,2.96,1.66,2.72,0.23,0.44,0.98,0.03
d6,Herbivore,Female,0.09999999,12.66,16.72,2.96,1.66,2.72,0.23,0.44,0.98,0.03
d2,Herbivore,Male,0.91,54.79,35.89,2.33,1.58,2,0.67,0.44,0.85,0.03
h2,Herbivore,Male,0.6,45.12,41.94,2.27,1.5,2.72,0.67,0.52,0.93,0.03
g2,Herbivore,Female,0.38,54.79,30.68,1.89,1.66,1.23,0.35,0.44,0.85,0.03
g3,Herbivore,Male,0.57,54.79,30.68,1.89,1.66,1.23,0.35,0.44,0.85,0.03
f2,Herbivore,Male,0.6,61.79,41.94,2.27,2.54,2.92,0.67,0.52,0.98,0.03
f6,Herbivore,Female,0.09999999,12.66,16.72,2.96,1.66,2.72,0.16,0.28,0.98,0.03
e2,Herbivore,Female,0.38,87.23,16.72,1.14,1.66,1.23,0.67,0.63,0.85,0.03
g2,Herbivore,Female,0.38,87.23,22.52,1.14,1.66,1.56,0.35,0.64,0.8,0.03
e2,Herbivore,Female,0.17,93.6,22.52,1.14,1.6,2.72,0.69,0.44,1.98,0.03
f2,Herbivore,Female,0.09999999,12.66,13.64,1.17,1.66,2.72,0.23,0.36,0.98,0.03
h2,Herbivore,Female,0.17,93.6,22.52,1.14,1.6,2.72,0.69,0.36,0.98,0.03
h3,Herbivore,Male,0.57,54.79,30.68,1.89,1.66,1.23,0.35,0.44,0.85,0.03
c3,Herbivore,Male,0.76,59.62,49.24,1.89,2.2,1.56,0.67,0.35,1.76,0.03
e3,Herbivore,Male,0.57,54.79,38.6,2.54,1.66,1.23,0.35,0.44,0.85,0.03
f2,Herbivore,Male,0.6,29.48,38.33,2.3,2.54,1.23,0.52,0.44,0.85,0.03
f2,Herbivore,Female,0.17,93.6,22.52,1.61,1.6,2.22,0.6,0.28,0.98,0.03
e6,Herbivore,Male,0.71,12.66,27.93,2.96,1.6,2.22,0.6,0.28,0.98,0.03
b2,Herbivore,Female,0.18,12.66,13.64,1.17,1.66,2.72,0.23,0.44,0.85,0.03
g6,Herbivore,Male,0.71,53.28,47.81,2.96,1.99,2.22,0.6,0.28,0.98,0.03
d2,Herbivore,Female,0.17,93.6,22.52,1.75,1.6,2.22,0.6,0.52,0.85,0.03
i3,Herbivore,Male,0.57,54.79,38.6,2.54,1.66,1.23,0.35,0.44,0.85,0.03
d6,Herbivore,Female,0.47,53.28,44.99,2.96,1.99,2.22,0.7,0.28,0.85,0.03
d2,Herbivore,Female,0.18,12.66,22.77,2.9,1.69,2.72,0.35,0.44,1.6,0.03
f2,Herbivore,Male,0.6,29.48,38.33,2.3,2.54,2.22,0.6,0.52,1.49,0.03
f2,Herbivore,Female,0.18,12.66,22.5,2.9,1.69,2.72,0.44,0.44,1.6,0.03
i2,Herbivore,Female,0.17,93.6,22.52,1.75,1.6,2.22,0.6,0.17,1.6,0.03
d2,Herbivore,Female,0.17,93.6,22.52,1.75,1.6,2.22,0.6,0.44,0.85,0.03
f2,Herbivore,Female,0.18,12.66,22.5,2.6,1.69,2.72,0.44,0.44,1.6,0.03
g2,Herbivore,Female,0.18,32.83,22.5,2.49,1.69,2.72,0.44,0.44,0.85,0.03
i3,Herbivore,Male,0.57,76.14,38.6,2.54,1.66,2.66,0.35,0.44,0.85,0.03
f2,Herbivore,Female,0.17,93.67,22.52,1.05,1.6,2.22,0.6,0.44,1.82,0.03
d3,Herbivore,Male,0.76,59.62,49.24,1.89,2.2,1.56,0.38,0.44,0.85,0.03
h3,Herbivore,Male,0.57,76.14,34.39,2.54,1.66,2.66,0.56,0.44,0.85,0.03
d2,Herbivore,Female,0.18,32.83,34.39,1.6,1.66,2.66,0.56,0.44,1.24,0.03
e2,Herbivore,Female,0.17,87.78,34.39,1.18,1.09,2.66,0.56,0.44,0.85,0.03
c2,Herbivore,Female,0.17,87.78,34.39,1.18,1.09,2.66,0.7,0.28,0.85,0.03
h2,Herbivore,Male,0.6,29.48,38.33,2.54,1.66,2.66,0.17,0.44,0.85,0.03
g3,Herbivore,Male,0.57,76.14,34.39,2.54,1.66,2.66,0.56,0.44,1.24,0.03
h2,Herbivore,Female,0.17,87.78,34.39,2.54,1.66,2.66,0.56,0.44,1.24,0.03
h2,Herbivore,Female,0.2,87.78,44.48,2.66,2.71,2.66,0.56,0.28,0.85,0.03
e6,Herbivore,Female,0.47,59.62,49.24,1.89,2.2,1.56,0.38,0.44,1.38,0.03
c2,Herbivore,Female,0.18,32.83,5.28,1.6,1.66,1.85,0.56,0.15,1.24,0.03
e2,Herbivore,Male,0.57,76.14,34.39,2.54,1.66,2.66,0.56,0.44,1.24,0.03
d2,Herbivore,Male,0.57,76.14,34.39,2.54,1.66,2.66,0.56,0.44,1.24,0.03
c3,Herbivore,Male,0.76,59.62,34.39,2.54,1.66,2.68,0.56,0.44,1.24,0.03
g3,Herbivore,Male,0.51,76.14,34.39,2.54,2.76,2.66,0.56,0.44,1.24,0.03
e2,Herbivore,Male,0.51,76.14,34.39,2.54,2.76,2.66,0.56,0.44,1.24,0.03
i2,Herbivore,Male,0.51,32.01,27.54,2.54,1.66,2.66,0.56,0.44,1.24,0.03
d6,Herbivore,Female,0.47,81.14,49.24,1.89,2.2,1.56,0.56,0.5,1.24,0.03
d2,Herbivore,Male,0.51,32.01,27.54,2.54,2.41,2.66,0.56,0.27,1.24,0.03
