Name,Type,S,G,S R,M S,H S,T S,G S,H L,T L,P,Diet
b2,Herbivore,Female,0.15,76.32,20.87,1.11,2.35,1.25,0.45,0.23,1.68,0.24
b4,Herbivore,Female,0.29,45.53,6.98,1.38,2.05,1.81,0.43,0.16,0.72,0.25
b4,Herbivore,Female,0.12,12.26,41.32,1.83,1.66,2.99,0.55,0.17,0.51,0.21
b1,Herbivore,Female,0.24,12.36,33.19,1.88,1.31,0.74,0.59,0.18,0.66,0.22
b0,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
b1,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b4,Herbivore,Female,0.31,15.41,31.25,2.7,1.76,1.35,0.17,0.48,1.21,0.19
b3,Herbivore,Female,0.35,48.42,29.18,2.41,2.52,2.37,0.58,0.56,1.69,0.03
b1,Herbivore,Female,0.39,69.48,36.78,2.67,2.66,0.62,0.45,0.2,0.71,0.03
b3,Herbivore,Female,0.03,93.68,7.43,2.19,2.55,2.13,0.33,0.17,0.51,0.21
b3,Herbivore,Female,0.48,11.45,31.38,2.56,2.65,0.84,0.28,0.2,0.71,0.03
b1,Herbivore,Female,0.33,25.63,30.59,2.59,2.16,1.66,0.29,0.28,1.02,0.04
b3,Herbivore,Female,0.11,77.9,22.29,1.6,1.32,0.9,0.33,0.17,0.51,0.21
c1,Herbivore,Female,0.4,68,47.06,1.05,1.46,0.62,0.29,0.12,0.86,0.06
b4,Herbivore,Female,0.4,25.06,15.19,2.59,2.16,1.66,0.29,0.28,1.02,0.04
c4,Herbivore,Female,0.12,12.26,41.32,1.76,2.4,2.56,0.37,0.25,1.98,0.08
c7,Herbivore,Female,0.36,99.5,45.18,1.45,2.66,2.73,0.34,0.11,0.91,0.13
c4,Herbivore,Female,0.29,45.53,6.98,1.38,2.05,1.49,0.11,0.15,1.86,0.33
b4,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b1,Herbivore,Female,0.4,68,48.32,2.06,2.01,1.21,0.35,0.21,1.55,0.04
c2,Herbivore,Female,0.26,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
b4,Herbivore,Female,0.12,98.48,29.77,1.32,2.39,2.29,0.46,0.65,1.84,0.3
b7,Herbivore,Female,0.36,99.5,45.18,1.45,2.66,2.73,0.34,0.25,1.98,0.08
c3,Herbivore,Female,0.35,48.42,29.18,1.99,1.53,1.16,0.68,0.17,1.74,0.19
c7,Herbivore,Female,0.36,99.5,45.18,1.45,2.66,2.73,0.34,0.25,0.66,0.22
b1,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b4,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
c1,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
d2,Herbivore,Female,0.26,78.81,47.97,2.77,2.74,2.25,0.31,0.55,1.03,0.04
c1,Herbivore,Male,0.71,65.07,22.64,1.64,2.4,2.56,0.37,0.25,1.98,0.08
b7,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
c8,Herbivore,Female,0.33,78.03,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
d1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,2.56,0.37,0.25,1.98,0.08
b8,Herbivore,Female,0.33,78.03,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.19
b2,Herbivore,Female,0.26,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
c4,Herbivore,Female,0.12,98.48,29.77,1.32,2.4,2.56,0.37,0.25,1.98,0.08
b2,Herbivore,Female,0.15,76.32,20.87,1.11,2.35,1.25,0.68,0.17,1.74,0.19
b4,Herbivore,Female,0.12,98.48,29.77,1.32,2.4,2.56,0.31,0.55,1.03,0.04
c7,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
b1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,2.56,0.37,0.15,1.86,0.33
d7,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.33
c4,Herbivore,Female,0.12,98.48,29.77,1.32,2.4,2.56,0.31,0.55,1.03,0.04
c2,Herbivore,Female,0.26,65.07,22.64,1.64,1.79,0.74,0.59,0.18,0.66,0.22
d7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
c7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
d8,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,2.56,0.37,0.15,1.86,0.33
c1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,2.56,0.33,0.17,0.51,0.21
e2,Herbivore,Female,0.26,65.07,22.64,1.64,1.79,2.56,0.33,0.17,0.51,0.21
c8,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,2.56,0.37,0.17,0.51,0.21
b7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
d4,Herbivore,Female,0.12,98.48,29.77,1.32,2.4,2.56,0.33,0.17,0.51,0.21
b8,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
b4,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
d7,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,2.56,0.33,0.17,0.51,0.21
c7,Herbivore,Male,0.71,65.07,22.64,1.64,2.4,2.56,0.33,0.17,0.51,0.21
b2,Herbivore,Female,0.15,76.32,20.87,1.11,2.35,1.25,0.68,0.17,1.74,0.19
d7,Herbivore,Male,0.71,65.07,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c2,Herbivore,Female,0.15,76.32,20.87,1.11,2.35,2.56,0.33,0.17,0.51,0.21
d4,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
c4,Herbivore,Male,0.69,78.81,24.52,1.76,1.79,0.62,0.45,0.2,0.71,0.03
d8,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.33,0.17,0.51,0.21
c4,Herbivore,Male,0.69,78.81,24.52,1.76,1.79,0.62,0.45,0.2,0.71,0.21
c4,Herbivore,Male,0.69,78.81,24.52,1.76,2.4,2.56,0.37,0.25,1.98,0.08
e4,Herbivore,Male,0.69,78.81,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c8,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.33,0.2,0.71,0.03
b1,Herbivore,Male,0.71,65.07,22.64,1.76,2.4,0.62,0.45,0.2,0.71,0.03
c7,Herbivore,Male,0.71,65.07,22.64,1.64,2.4,0.62,0.45,0.2,0.71,0.03
c2,Herbivore,Male,0.71,65.07,22.64,1.64,1.79,0.62,0.45,0.2,0.71,0.03
