Time,SumPopulation,HerbPopulation,CarnPopulation,OmniPopulation,FPS
263,47,47,0,0,71
264,47,47,0,0,61
265,47,47,0,0,75
266,47,47,0,0,75
267,47,47,0,0,73
268,48,48,0,0,62
269,48,48,0,0,73
270,48,48,0,0,60
271,48,48,0,0,59
272,48,48,0,0,63
273,47,47,0,0,68
274,47,47,0,0,63
275,47,47,0,0,54
276,47,47,0,0,65
277,48,48,0,0,65
278,49,49,0,0,68
279,50,50,0,0,63
280,49,49,0,0,62
281,49,49,0,0,61
282,49,49,0,0,47
283,49,49,0,0,59
284,49,49,0,0,63
285,50,50,0,0,64
286,50,50,0,0,70
287,50,50,0,0,70
288,51,51,0,0,64
289,51,51,0,0,65
290,50,50,0,0,53
291,50,50,0,0,59
292,51,51,0,0,58
293,51,51,0,0,69
294,52,52,0,0,58
295,52,52,0,0,66
296,52,52,0,0,61
297,52,52,0,0,62
298,52,52,0,0,59
299,51,51,0,0,65
300,53,53,0,0,67
301,53,53,0,0,58
302,54,54,0,0,66
303,54,54,0,0,49
304,54,54,0,0,63
305,53,53,0,0,60
306,55,55,0,0,68
307,55,55,0,0,67
308,55,55,0,0,50
309,56,56,0,0,64
310,56,56,0,0,65
311,56,56,0,0,58
312,56,56,0,0,55
313,56,56,0,0,56
314,56,56,0,0,59
315,56,56,0,0,58
316,56,56,0,0,59
317,56,56,0,0,59
318,55,55,0,0,60
319,55,55,0,0,61
320,56,56,0,0,59
321,58,58,0,0,54
322,58,58,0,0,61
323,56,56,0,0,64
324,54,54,0,0,56
325,55,55,0,0,62
326,55,55,0,0,59
327,55,55,0,0,55
328,54,54,0,0,60
329,53,53,0,0,62
330,53,53,0,0,66
331,52,52,0,0,48
332,52,52,0,0,63
333,51,51,0,0,25
334,51,51,0,0,60
335,51,51,0,0,65
336,51,51,0,0,55
337,52,52,0,0,68
338,52,52,0,0,60
339,52,52,0,0,27
340,52,52,0,0,55
341,54,54,0,0,56
342,55,55,0,0,66
343,53,53,0,0,45
344,53,53,0,0,44
345,53,53,0,0,52
346,53,53,0,0,67
347,53,53,0,0,70
348,53,53,0,0,55
349,53,53,0,0,56
350,53,53,0,0,48
351,53,53,0,0,61
352,52,52,0,0,69
353,53,53,0,0,59
